Timestamp,Id. No,Age range,Gender,Country,Where did you hear about Everything Data?,How many years of learning experience do you have in the field of data?,Which track are you applying for?,How many hours per week can you commit to learning?,What is your main aim for joining the mentorship program?,What is your motivation to join the Everything Data mentorship program?,How best would you describe your skill level in the track you are applying for?,Have you completed the everything data aptitude test for your track?,Total score,Graduated
11/28/2024 20:17:51,DS318,25-34 years,Male,Kenya,Twitter,6 months - 1 year,Data analysis,more than 14 hours,Upskill,Leaening with more experinced and mentors is a great opportunity,Intermediate - I have theoretical knowledge and experience in data analysis/ data science,Yes,73.00,Yes
12/2/2024 23:06:17,DS319,25-34 years,Female,Kenya,WhatsApp,Less than six months,Data science,more than 14 hours,Build a project portfolio,"I am interested in learning AI, ML at a much deeper level than has been taught to me in my engineering course. I have projects I would like to begin, like using AI to assist in electrical engineering design. I'm confident in my ability to learn fast.",Elementary - I have theoretical understanding of basic data analysis/ data science concepts,Yes,79.67,No
12/2/2024 13:33:40,DS320,25-34 years,Male,Kenya,Twitter,Less than six months,Data science,7-14 hours,Upskill,I need to get a job,Elementary - I have theoretical understanding of basic data analysis/ data science concepts,Yes,70.67,No
12/3/2024 7:07:40,DS321,18-24 years,Female,Kenya,WhatsApp,1-3 years,Data science,7-14 hours,Build a project portfolio,I am passionate about data for health care and I am looking into pivoting into the field,Intermediate - I have theoretical knowledge and experience in data analysis/ data science,Yes,82.33,No
12/2/2024 16:35:54,DS322,25-34 years,Male,Kenya,LinkedIn,Less than six months,Data science,more than 14 hours,Upskill,Connect with fellow data Professionals,Beginner - I have NO learning or work experience in data analysis/ data science,Yes,67.00,No
11/28/2024 16:27:08,DS323,18-24 years,Male,Kenya,LinkedIn,6 months - 1 year,Data analysis,more than 14 hours,Upskill,To get an opportunity to advance in my career as I also sharpen my skills,Elementary - I have theoretical understanding of basic data analysis/ data science concepts,Yes,79.50,No
12/3/2024 12:59:55,DS324,25-34 years,Male,South Africa,WhatsApp,Less than six months,Data science,7-14 hours,Build a project portfolio,"I’m excited to join the Everything Data mentorship program to expand my knowledge in data science. With my background in web development and cloud services, I’m eager to learn how to integrate data-driven insights into my projects and grow my skills",Beginner - I have NO learning or work experience in data analysis/ data science,No,76.67,No
11/27/2024 10:19:12,DS325,18-24 years,Male,Kenya,WhatsApp,Less than six months,Data science,7-14 hours,Build a project portfolio,Getting access to better training and understanding matters to do with Data Science.,Elementary - I have theoretical understanding of basic data analysis/ data science concepts,Yes,80.00,No
11/28/2024 19:57:13,DS326,25-34 years,Male,Kenya,Twitter,1-3 years,Data science,7-14 hours,Upskill,I would like to pursue a career as a data scientist and help organizations make data driven decisions,Elementary - I have theoretical understanding of basic data analysis/ data science concepts,Yes,74.33,No
12/3/2024 13:30:40,DS327,25-34 years,Female,Kenya,Word of mouth,Less than six months,Data science,less than 6 hours,Upskill,"I would like to be a part of the global shift towards a data driven era, of informed decision-making, problem-solving, and impactful operations.
I am intrigued too by the fact that, data science is not only intellectually rewarding but versatile too.",Beginner - I have NO learning or work experience in data analysis/ data science,Yes,59.67,No
11/27/2024 17:00:08,DS328,25-34 years,Male,Kenya,Twitter,1-3 years,Data science,7-14 hours,Upskill,I am motivated by the fact that this opportunity will enable me upskill and lead me toward realising my career goals,Intermediate - I have theoretical knowledge and experience in data analysis/ data science,Yes,68.67,No
12/2/2024 18:02:53,DS329,25-34 years,Male,Kenya,Twitter,6 months - 1 year,Data science,7-14 hours,Upskill,I want to be part of a community,Elementary - I have theoretical understanding of basic data analysis/ data science concepts,Yes,81.50,No
12/3/2024 12:39:32,DS330,45-54 years,Female,Kenya,WhatsApp,Less than six months,Data science,more than 14 hours,Upskill,Desire to upgrade and learn more,Beginner - I have NO learning or work experience in data analysis/ data science,Yes,73.33,No
12/3/2024 16:53:38,DS331,18-24 years,Female,Kenya,WhatsApp,Less than six months,Data science,7-14 hours,Learn data afresh,I am eager to learn data science. I have a very big interest in it and I am ready to commit to learning it.,Beginner - I have NO learning or work experience in data analysis/ data science,Yes,68.67,No
12/1/2024 22:16:29,DS332,25-34 years,Male,Kenya,Word of mouth,Less than six months,Data science,7-14 hours,Learn data afresh,I would like to pivot from the healthcare career path and merge it with data skills.,Beginner - I have NO learning or work experience in data analysis/ data science,Yes,83.00,Yes
12/2/2024 13:45:42,DS333,25-34 years,Male,Kenya,WhatsApp,6 months - 1 year,Data science,7-14 hours,Connect with fellow data professionals,The opportunity to link with other people in the same field; get to learn on how the best in the field actually do it; hopefully get a job,Elementary - I have theoretical understanding of basic data analysis/ data science concepts,Yes,68.67,Yes
12/2/2024 14:45:22,DS334,18-24 years,Female,Kenya,WhatsApp,6 months - 1 year,Data science,more than 14 hours,Upskill,"I’m motivated to enhance my skills in data science, Python, and visualization while gaining practical insights from experienced mentors. This program will help me build a strong foundation and connect with like minded professionals.",Elementary - I have theoretical understanding of basic data analysis/ data science concepts,Yes,64.67,Yes
12/2/2024 16:11:30,DS335,18-24 years,Female,Kenya,Word of mouth,Less than six months,Data science,7-14 hours,Learn data afresh,I intend to do a masters in genetic engineering and a good understanding of data would enable me to learn with ease and enable me to have better understanding of the degree as scientific work involves a lot of data analysis and interpretation.,Beginner - I have NO learning or work experience in data analysis/ data science,Yes,66.33,No
12/1/2024 18:49:03,DS336,18-24 years,Female,Kenya,through a geeks for geeks webinar,Less than six months,Data science,7-14 hours,both upskilling and connecting with fellow data professionals,Joining the Everything Data Mentorship program aligns with my goal of building expertise in Data science and machine learning while exploring real world applications. It's also a chance to network with my fellow peers and other industrial experts,Elementary - I have theoretical understanding of basic data analysis/ data science concepts,Yes,74.33,Yes
12/2/2024 23:41:04,DS337,18-24 years,Female,Kenya,WhatsApp,Less than six months,Data science,7-14 hours,Learn data afresh,To learn a new skill so as to supplement my engineering skills,Beginner - I have NO learning or work experience in data analysis/ data science,Yes,69.67,No
12/3/2024 20:23:34,DS338,18-24 years,Female,Kenya,WhatsApp,Less than six months,Data science,7-14 hours,Build a project portfolio,To make predictive models,Beginner - I have NO learning or work experience in data analysis/ data science,Yes,67.00,No
11/28/2024 18:20:02,DS339,18-24 years,Male,Kenya,WhatsApp,Less than six months,Data science,less than 6 hours,Upskill,I am a Computer Science student eager to gain practical data science skills through mentorship.,Beginner - I have NO learning or work experience in data analysis/ data science,Yes,70.67,Yes
12/2/2024 1:55:38,DS340,18-24 years,Male,Kenya,WhatsApp,Less than six months,Data science,7-14 hours,Upskill,The world is fast embracing IT and Tech to provide a variety of solutions to modern-day problems. I am inclined to learn Data Science to equip myself with the necessary skills and knowledge to go about it. I am grateful for this chance to be on board,Beginner - I have NO learning or work experience in data analysis/ data science,Yes,65.00,No
12/1/2024 12:40:47,DS341,18-24 years,Female,Kenya,WhatsApp,Less than six months,Data science,7-14 hours,Learn data afresh,My motivation to join is brought about by the free chance and platform where I can learn DS afresh. I need to upskill myself and put myself in a path where i can be able to make a living via Data Science.,Elementary - I have theoretical understanding of basic data analysis/ data science concepts,Yes,61.67,No
12/3/2024 10:11:01,DS342,18-24 years,Female,Kenya,Instagram,Less than six months,Data science,7-14 hours,Upskill,"By enrolling in the Everything Data mentorship program, I hope to close the knowledge gap I have in economics and statistics, develop advanced data analytics abilities, make wise decisions, and develop into a dynamic and creative finance expert.",Beginner - I have NO learning or work experience in data analysis/ data science,Yes,64.00,No
12/3/2024 16:00:30,DS343,18-24 years,Female,Kenya,WhatsApp,Less than six months,Data science,7-14 hours,Learn data afresh,"Thank you so much for this opportunity. I am in a space of building my career in tech, and this is a great opportunity to advance in tech. I will be so greatful given the opportunity",Beginner - I have NO learning or work experience in data analysis/ data science,Yes,61.33,No
12/1/2024 21:44:14,DS344,18-24 years,Female,Kenya,WhatsApp,1-3 years,Data science,7-14 hours,Upskill,I have had the greatest need to want to upskill to the next level in data which is data science. I happened to stumble upon this great chance to not only be taught but to also receive mentorship in the data science field which is really amazing.,Elementary - I have theoretical understanding of basic data analysis/ data science concepts,Yes,65.33,No
11/29/2024 12:54:58,DS345,18-24 years,Male,Kenya,LinkedIn,Less than six months,Data science,more than 14 hours,Learn data afresh,’m eager to join the Everything Data mentorship program to enhance my data analysis skills and learn from experienced mentors. I believe this opportunity will help me grow professionally and apply data-driven solutions to real-world challenges.,Beginner - I have NO learning or work experience in data analysis/ data science,Yes,66.33,Yes
12/3/2024 12:52:23,DS346,18-24 years,Male,Kenya,WhatsApp,Less than six months,Data science,7-14 hours,Learn data afresh,To learn more on Data,Beginner - I have NO learning or work experience in data analysis/ data science,Yes,65.00,No
11/27/2024 12:00:40,DS347,18-24 years,Female,Kenya,WhatsApp,Less than six months,Data science,less than 6 hours,Upskill,I want to have a starting point in this field as well as connect with a mentor,Elementary - I have theoretical understanding of basic data analysis/ data science concepts,Yes,73.33,No
12/2/2024 17:25:08,DS348,25-34 years,Female,Kenya,Twitter,4-6 years,Data science,7-14 hours,Upskill,"Numbers speak to me and I would like to learn more on how to tell stories using numbers. I have a great passion for being a part of decision making by looking at trends and finding a pattern. I believe where we are headed, data is everything.",Intermediate - I have theoretical knowledge and experience in data analysis/ data science,Yes,66.33,Yes
12/2/2024 10:54:13,DS349,18-24 years,Female,Kenya,WhatsApp,6 months - 1 year,Data science,7-14 hours,Learn data afresh,"I seek to join the data mentorship program to build skills, gain real-world experience, and get expert guidance. Aligned with my goals, I’m passionate about data’s impact and eager to connect with professionals while contributing meaningfully.",Intermediate - I have theoretical knowledge and experience in data analysis/ data science,Yes,64.00,No
12/3/2024 17:47:40,DS350,18-24 years,Female,Kenya,WhatsApp,4-6 years,Data science,7-14 hours,Upskill,"What used to be a foreign discipline, data science, has now fascinated me and is now something I want to develop further and use its capability to help deal with practical problems, particularly in geospatial applications.",Elementary - I have theoretical understanding of basic data analysis/ data science concepts,Yes,77.67,Yes
11/28/2024 16:01:26,DS351,25-34 years,Female,Kenya,Twitter,Less than six months,Data science,7-14 hours,Upskill,I've seen data’s power to tackle challenges like youth unemployment. I aim to deepen my skills to analyze trends and create opportunities. This course offers the knowledge I need to drive change and craft solutions in HR for a more equitable society.,Elementary - I have theoretical understanding of basic data analysis/ data science concepts,Yes,83.67,No
12/3/2024 13:56:52,DS352,18-24 years,Female,Kenya,LinkedIn,6 months - 1 year,Data science,more than 14 hours,Upskill,"My interests lie in using data to improve healthcare, focusing on precision medicine. I gained skills in UNIX, Bash, R, and HPCs.Learning Python to broaden my skills currently. This mentorship will help bridge my transition to health data science.",Elementary - I have theoretical understanding of basic data analysis/ data science concepts,Yes,60.33,No
11/27/2024 16:12:58,DS353,25-34 years,Male,Kenya,Twitter,6 months - 1 year,Data science,7-14 hours,Upskill,"I am passionate about data science and eager to join the mentorship program to enhance my skills, gain insights from industry leaders, and collaborate with peers. My goal is to leverage data for impactful solutions and drive positive change.",Intermediate - I have theoretical knowledge and experience in data analysis/ data science,Yes,63.00,Yes
12/3/2024 15:42:25,DS354,18-24 years,Male,Kenya,WhatsApp,Less than six months,Data science,less than 6 hours,Upskill,My motivation to join the Everything Data mentorship program stems from my strong passion for data science and my desire to further develop my skills in this field.,Beginner - I have NO learning or work experience in data analysis/ data science,Yes,61.67,Yes
11/27/2024 12:01:00,DS355,18-24 years,Male,Kenya,WhatsApp,Less than six months,Data science,7-14 hours,Upskill,my motivation is to learn and expand my knowledge to solve data science poblems,Elementary - I have theoretical understanding of basic data analysis/ data science concepts,Yes,61.00,Yes
12/3/2024 11:20:37,DS356,18-24 years,Female,Kenya,Twitter,1-3 years,Data science,7-14 hours,Upskill,I want to meet people in the same field and also get mentorship,Intermediate - I have theoretical knowledge and experience in data analysis/ data science,Yes,62.33,No
12/2/2024 10:30:07,DS357,25-34 years,Male,Kenya,Twitter,Less than six months,Data science,more than 14 hours,Upskill,"I am motivated by my dire need to further my knowledge and understanding of data science. Through this mentorship, I will learn about advanced data science techniques, and develop a structured approach toward analysis and problem-solving.",Elementary - I have theoretical understanding of basic data analysis/ data science concepts,Yes,81.00,No
11/27/2024 21:27:04,DS358,18-24 years,Male,Kenya,WhatsApp,Less than six months,Data science,7-14 hours,Learn data afresh,i want to be a data analyst,Beginner - I have NO learning or work experience in data analysis/ data science,Yes,60.33,No
11/28/2024 19:23:05,DS359,25-34 years,Male,Kenya,Twitter,Less than six months,Data science,more than 14 hours,Upskill,I am a passionate mathematician hence my love for data driven solutions.,Elementary - I have theoretical understanding of basic data analysis/ data science concepts,No,59.67,No
12/3/2024 15:40:50,DS360,18-24 years,Male,Kenya,WhatsApp,Less than six months,Data science,7-14 hours,Upskill,I recently developed an interest on statistics and data and would like to learn more and more about it,Beginner - I have NO learning or work experience in data analysis/ data science,Yes,67.67,No
12/1/2024 23:01:04,DS361,18-24 years,Male,Kenya,WhatsApp,Less than six months,Data science,7-14 hours,Learn data afresh,I do believe and have testified from those that have undergone your program that indeed you have what I need to gain the necessary skills and knowledge in data science,Beginner - I have NO learning or work experience in data analysis/ data science,Yes,62.00,No
11/29/2024 10:11:34,DS362,35-44 years,Male,Kenya,Twitter,6 months - 1 year,Data science,more than 14 hours,Upskill,I would like to interact with real world problems and solve and also get a mentor to help me in the field,Elementary - I have theoretical understanding of basic data analysis/ data science concepts,Yes,76.00,No
12/3/2024 14:14:49,DS363,18-24 years,Male,Kenya,WhatsApp,Less than six months,Data science,7-14 hours,Upskill,To gain knowledge,Elementary - I have theoretical understanding of basic data analysis/ data science concepts,Yes,67.00,No
